plant_id;perennial_shoot_id;perennial_internode_id;last_year_shoot_id;this_year_shoot_id;basis_order;x;y;z
1;2;4;1;1;0;-33.14405728;0.119;96.642
1;2;4;1;1;1;-33.00162139;-0.071;103.562
1;2;4;1;1;2;-32.0591966;0.449;110.512
1;2;4;1;1;3;-31.96593927;-0.384;118.872
1;2;4;1;1;4;-31.22317712;-0.49;126.362
1;2;4;1;1;5;-29.24999616;0.417;133.372
1;2;4;1;1;6;-28.22649465;0.186;140.182
1;2;4;1;1;7;-27.88682641;-0.126;148.222
1;2;4;1;1;8;-26.69632285;-0.069;158.642
1;2;4;1;1;9;-26.6547963;-0.299;168.282
1;2;4;1;1;10;-25.24640033;-0.018;178.762
1;2;4;2;0;0;-34.734;0.151;89.512
1;2;4;2;1;0;-35.5707328;0.357;98.222
1;2;4;2;1;1;-35.95781377;-0.386;107.832
1;2;4;2;1;2;-37.82809276;0.012;114.992
1;2;4;2;1;3;-39.37978773;0.208;122.732
1;2;4;2;1;4;-41.18485865;0.192;132.982
1;2;4;2;1;5;-42.82280313;0.149;141.592
1;2;4;2;1;6;-43.57956468;-0.307;152.152
1;2;4;2;1;7;-45.43153337;-0.417;159.092
1;2;4;2;1;8;-46.89832408;-0.216;168.892
1;2;4;2;1;9;-48.21263409;0.244;178.182
1;2;4;2;1;10;-49.16684487;0.381;185.172
1;2;5;0;0;0;-45.01;-0.72;84.603
1;2;6;0;0;0;-52.62;-0.63;84.911
1;2;7;0;0;0;-60;0.04;84.823
1;2;8;0;0;0;-69.26;0.74;84.583
1;2;8;1;0;0;-69.144;0.49;87.083
1;2;8;1;1;0;-68.13619081;0.217;94.733
1;2;8;1;1;1;-67.37738533;-0.012;101.313
1;2;8;1;1;2;-67.30347194;-0.3;112.253
1;2;8;1;1;3;-66.66623828;-0.239;122.043
1;2;8;1;1;4;-65.99152585;0.096;128.793
1;2;8;1;1;5;-64.8834322;0.298;136.503
1;2;8;1;1;6;-64.66633662;-0.139;145.563
1;2;8;1;1;7;-63.49981928;0.126;156.053
1;2;8;1;1;8;-62.40721536;0.207;167.103
1;2;8;1;1;9;-61.04843493;0.115;177.623
1;2;8;1;1;10;-59.70233004;-0.073;185.513
1;2;8;2;0;0;-68.876;0.457;89.583
1;2;8;2;1;0;-67.71347001;-0.472;96.613
1;2;8;2;1;1;-66.00243784;0.404;107.393
1;2;8;2;1;2;-64.96431535;0.5;118.043
1;2;8;2;1;3;-64.6400551;0.011;127.793
1;2;8;2;1;4;-64.20225733;-0.297;136.633
1;2;8;2;1;5;-63.8792904;0.354;147.013
1;2;8;2;1;6;-62.7360678;0.231;155.543
1;2;8;2;1;7;-61.22121728;-0.471;163.203
1;2;8;2;1;8;-60.16865263;-0.313;170.873
1;2;8;2;1;9;-58.56305687;0.075;180.633
1;2;8;2;1;10;-57.2718603;-0.377;191.363
1;2;9;0;0;0;-77.02;-0.26;85.184
1;2;10;0;0;0;-86.7;-0.04;84.93
1;2;11;0;0;0;-93.37;-0.31;85.282
1;2;12;0;0;0;-102.98;0.19;85.044
1;2;12;1;0;0;-102.623;-0.292;87.544
1;2;12;1;1;0;-100.74971;0.17;94.944
1;2;12;1;1;1;-99.13845013;0.175;103.864
1;2;12;1;1;2;-99.12340544;-0.418;114.694
1;2;12;1;1;3;-97.73374858;0.328;125.514
1;2;12;1;1;4;-97.26390784;0.021;132.754
1;2;12;1;1;5;-97.16106194;-0.346;142.624
1;2;12;1;1;6;-95.97612686;-0.396;150.264
1;2;12;1;1;7;-94.92004849;-0.076;156.874
1;2;12;1;1;8;-94.87426248;0.446;166.734
1;2;12;1;1;9;-93.03673575;-0.127;174.824
1;2;12;1;1;10;-91.96692839;-0.299;182.894
1;2;12;2;0;0;-102.891;0.153;90.044
1;2;12;2;1;0;-104.2124599;-0.215;97.674
1;2;12;2;1;1;-104.7680407;0.49;104.494
1;2;12;2;1;2;-105.8019545;0.133;114.074
1;2;12;2;1;3;-106.8631281;-0.055;121.574
1;2;12;2;1;4;-107.544505;0.094;132.204
1;2;12;2;1;5;-108.8495995;-0.197;142.314
1;2;12;2;1;6;-109.7561752;0.382;148.844
1;2;12;2;1;7;-110.8373019;-0.255;156.244
1;2;12;2;1;8;-111.368124;0.263;167.154
1;2;12;2;1;9;-113.1220011;-0.336;176.074
1;2;12;2;1;10;-114.6281835;0.001;186.004
1;2;13;0;0;0;-110.79;-0.54;85.001
1;2;14;0;0;0;-117.59;-0.38;85.019
